Month;BNP
200501;100
200502;100.9666667
200503;101.9333333
200504;102.9
200505;103.9633
200506;105.0266
200507;106.0899
200508;107.0447091
200509;107.9995182
200510;108.9543273
200511;110.6249603
200512;112.2955934
200601;113.9662264
200602;115.8276747
200603;117.6891231
200604;119.5505714
200605;121.6626315
200606;123.7746916
200607;125.8867517
200608;128.0268265
200609;130.1669013
200610;132.3069761
200611;134.0269668
200612;135.7469574
200701;137.4669481
200702;139.1165515
200703;140.7661549
200704;142.4157583
200705;143.8399159
200706;145.2640734
200707;146.688231
200708;148.4973859
200709;150.3065407
200710;152.1156956
200711;152.8255688
200712;153.5354421
200801;154.2453153
200802;154.7080512
200803;155.1707872
200804;155.6335231
200805;155.5816453
200806;155.5297674
200807;155.4778896
200808;152.7829395
200809;150.0879895
200810;147.3930394
200811;144.3960476
200812;141.3990558
200901;138.402064
200902;135.5878887
200903;132.7737134
200904;129.9595381
200905;127.4036672
200906;124.8477962
200907;122.2919253
200908;121.4358818
200909;120.5798384
200910;119.7237949
200911;120.9210328
200912;122.1182708
201001;123.3155087
201002;125.4940827
201003;127.6726567
201004;129.8512307
201005;132.7945253
201006;135.7378198
201007;138.6811144
201008;142.2405963
201009;145.8000783
201010;149.3595602
201011;151.9484592
201012;154.5373583
201101;157.1262573
201102;158.8546461
201103;160.583035
201104;162.3114238
201105;164.0427457
201106;165.7740675
201107;167.5053894
201108;167.1703786
201109;166.8353678
201110;166.500357
201111;166.500357
201112;166.500357
201201;166.500357
201202;166.6668574
201203;166.8333577
201204;166.9998581
201205;166.6658584
201206;166.3318587
201207;165.997859
201208;166.3298547
201209;166.6618504
201210;166.9938461
201211;167.7731507
201212;168.5524554
201301;169.33176
201302;169.4446478
201303;169.5575357
201304;169.6704235
201305;170.1794348
201306;170.688446
201307;171.1974573
201308;172.567037
201309;173.9366166
201310;175.3061963
201311;176.3580335
201312;177.4098706
201401;178.4617078
201402;180.1273504
201403;181.792993
201404;183.4586356
201405;184.8651518
201406;186.271668
201407;187.6781842
201408;189.3047285
201409;190.9312727
201410;192.557817
201411;194.4833952
201412;196.4089733
201501;198.3345515
201502;200.7145661
201503;203.0945808
201504;205.4745954
201505;208.2827482
201506;211.090901
201507;213.8990538
201508;217.1075396
201509;220.3160254
201510;223.5245112
201511;224.4931174
201512;225.4617237
201601;226.4303299
201602;226.4303299
201603;226.4303299
